cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i9-9900K Processor ,"3,600 MHz ",December 23 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11971,Time Spy (1.0) by Prozeinxd
Intel Core i9-9900K Processor ,"3,600 MHz ",January 19 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11971,Time Spy (1.0) by ManuXao
Intel Core i9-9900K Processor ,"3,600 MHz ",April 7 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11971,Time Spy (1.0) by oihar031
Intel Core i9-9900K Processor ,"3,600 MHz ",April 18 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11971,Time Spy (1.0) by Elfriede-3
Intel Core i9-9900K Processor ,"3,600 MHz ",April 26 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11971,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",May 3 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11971,Time Spy (1.0) by Elfriede-3
Intel Core i9-9900K Processor ,"3,600 MHz ",June 11 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11971,Time Spy (1.0) by bphill10
Intel Core i9-9900K Processor ,"3,600 MHz ",June 23 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",11971,Time Spy (1.0) by D3L7R0N
AMD Ryzen 9 3900X ,"3,793 MHz ",August 7 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11971,Time Spy (1.0) by Biggles-3482
AMD Ryzen 9 3900X ,"3,793 MHz ",August 9 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11971,Time Spy (1.0) by bLAH
Intel Core i9-9900K Processor ,"3,600 MHz ",August 12 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,025 MHz ",11971,Time Spy (1.0) by Rawn
Intel Core i9-9900KF Processor ,"3,600 MHz ",August 20 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11971,Time Spy (1.0) by SDO
AMD Ryzen 7 3700X ,"4,367 MHz ",September 13 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11971,Time Spy (1.0) by drbarlow
AMD Ryzen 9 3900X ,"3,793 MHz ",September 22 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11971,Time Spy (1.0) by iPat
Intel Core i9-9900KF Processor ,"3,600 MHz ",March 26 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11971,Time Spy (1.0) by PiktaSS
AMD Ryzen 9 3950X ,"4,300 MHz ",May 6 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,025 MHz ",11971,Time Spy (1.0) by ernstp5
AMD Ryzen 9 3950X ,"4,275 MHz ",September 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11971,Time Spy (1.2) by hugojb1985
Intel Core i9-7960X Processor ,"2,801 MHz ",October 29 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11970,Time Spy (1.0)
Intel Core i7-8700K Processor ,"3,696 MHz ",February 1 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11970,Time Spy (1.0) by mAnBrEaTh
Intel Core i9-9900K Processor ,"3,600 MHz ",February 3 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11970,Time Spy (1.0) by ShaneGooseman
Intel Core i7-8700K Processor ,"3,696 MHz ",February 11 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",11970,Time Spy (1.0) by matteodigiuseppe
Intel Core i9-9900K Processor ,"3,600 MHz ",May 17 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11970,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",May 28 2019,Gainward GmbH NVIDIA GeForce RTX 2080 ,"2,025 MHz ",11970,Time Spy (1.0) by Maxavelli
AMD Ryzen 7 3700X ,"3,600 MHz ",July 16 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11970,Time Spy (1.0) by Hellpful
AMD Ryzen 7 3800X ,"3,900 MHz ",August 19 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11970,Time Spy (1.0) by Signs of Tree
Intel Core i9-9900KF Processor ,"3,600 MHz ",September 23 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11970,Time Spy (1.0) by SDO
AMD Ryzen 7 3700X ,"4,225 MHz ",September 28 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11970,Time Spy (1.0) by ImJabro
Intel Core i9-9900K Processor ,"3,600 MHz ",October 25 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11970,Time Spy (1.0) by Kix
AMD Ryzen 7 3700X ,"3,600 MHz ",December 23 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11970,Time Spy (1.0) by inerii
Intel Core i9-9900K Processor ,"3,600 MHz ",February 15 2020,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,010 MHz ",11970,Time Spy (1.0) by Ysts-2
Intel Core i9-9900KF Processor ,"3,600 MHz ",February 23 2020,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11970,Time Spy (1.0) by vesselsc
Intel Core i9-9900K Processor ,"3,600 MHz ",March 23 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",11970,Time Spy (1.0) by sts_fin
Intel Core i7-9700K Processor ,"3,600 MHz ",March 28 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",11970,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,493 MHz ",May 2 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11970,Time Spy (1.0) by BigBr0ski
Intel Core i9-9900K Processor ,"3,600 MHz ",August 6 2020,ZOTAC NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11970,Time Spy (1.2) by PigsFly?
AMD Ryzen 9 3900X ,"3,800 MHz ",September 20 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11970,Time Spy (1.2) by switchawow
AMD Ryzen 7 2700X ,"4,223 MHz ",February 23 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11969,Time Spy (1.0) by ti4600
Intel Core i9-9900K Processor ,"3,600 MHz ",March 18 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11969,Time Spy (1.0) by SupremeST2
Intel Core i9-9900K Processor ,"3,600 MHz ",April 25 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11969,Time Spy (1.0)
Intel Core i9-9900K Processor ,"3,600 MHz ",May 4 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11969,Time Spy (1.0) by OlSkool76
Intel Core i9-9900K Processor ,"3,600 MHz ",August 1 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11969,Time Spy (1.0) by tomo_veloce
Intel Core i9-9900K Processor ,"3,600 MHz ",November 1 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11969,Time Spy (1.0) by DeathTech
Intel Core i9-9900K Processor ,"3,600 MHz ",December 16 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11969,Time Spy (1.0) by Shulya
Intel Core i9-9900KS Processor ,"4,007 MHz ",December 29 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11969,Time Spy (1.0) by Teuhka
AMD Ryzen 9 3900X ,"4,300 MHz ",January 7 2020,Colorful NVIDIA GeForce RTX 2080 ,"2,025 MHz ",11969,Time Spy (1.0) by 小姚YGn
Intel Core i9-9900K Processor ,"3,600 MHz ",January 7 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11969,Time Spy (1.0) by St34lth94
Intel Core i9-9900K Processor ,"3,600 MHz ",February 13 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11969,Time Spy (1.0) by aharon099
AMD Ryzen 9 3900X ,"3,793 MHz ",April 14 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11969,Time Spy (1.0) by thomas.christian9
Intel Core i9-9900K Processor ,"3,600 MHz ",April 22 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11969,Time Spy (1.0) by SolidAir79
Intel Core i9-9900K Processor ,"3,600 MHz ",May 5 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11969,Time Spy (1.0) by ElConrado
Intel Core i9-9900K Processor ,"3,600 MHz ",June 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11969,Time Spy (1.2) by wakewelder9
AMD Ryzen 9 3900X ,"3,800 MHz ",July 6 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11969,Time Spy (1.2) by 本术
Intel Core i7-10700K Processor ,"3,792 MHz ",August 3 2020,Gainward GmbH NVIDIA GeForce RTX 2080 ,"2,085 MHz ",11969,Time Spy (1.2) by privater
AMD Ryzen 9 3900X ,"3,800 MHz ",August 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,010 MHz ",11969,Time Spy (1.2) by zenonn
Intel Core i7-10700K Processor ,"3,792 MHz ",August 26 2020,Colorful NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11969,Time Spy (1.2) by 1554247830
Intel Core i9-9900K Processor ,"3,600 MHz ",February 13 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,160 MHz ",11968,Time Spy (1.0) by Sober_Squid
AMD Ryzen 7 2700X ,"4,223 MHz ",February 23 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11968,Time Spy (1.0) by ti4600
Intel Core i9-9900K Processor ,"3,600 MHz ",April 24 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11968,Time Spy (1.0) by anstaendig
AMD Ryzen 7 3800X ,"3,893 MHz ",August 10 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11968,Time Spy (1.0) by perry515055
Intel Core i9-9900K Processor ,"3,600 MHz ",October 25 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11968,Time Spy (1.0) by IndianDog
Intel Core i9-9900K Processor ,"3,600 MHz ",November 2 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11968,Time Spy (1.0) by augustiner777
Intel Core i9-7980XE Processor ,"2,600 MHz ",November 15 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11968,Time Spy (1.0) by IQuit
Intel Core i9-9900K Processor ,"3,600 MHz ",November 20 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,010 MHz ",11968,Time Spy (1.0) by DeathTech
Intel Core i9-9900K Processor ,"3,600 MHz ",November 21 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11968,Time Spy (1.0) by DeathTech
Intel Core i7-8700K Processor ,"3,696 MHz ",March 12 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11968,Time Spy (1.0) by rushi
Intel Core i9-9900K Processor ,"3,600 MHz ",March 18 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11968,Time Spy (1.0) by baoboshu11
Intel Core i9-9900K Processor ,"3,600 MHz ",April 3 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11968,Time Spy (1.0) by noxxiouss
Intel Core i9-9900K Processor ,"3,600 MHz ",April 30 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11968,Time Spy (1.0) by jason.bowman9215
Intel Core i9-9900K Processor ,"3,600 MHz ",May 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",11968,Time Spy (1.0) by uncleguspacho
Intel Core i9-9900K Processor ,"3,600 MHz ",June 17 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11968,Time Spy (1.0) by 188312569
Intel Core i9-9900K Processor ,"3,600 MHz ",December 23 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11967,Time Spy (1.0) by Prozeinxd
Intel Core i9-9900K Processor ,"3,600 MHz ",February 8 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11967,Time Spy (1.0) by LiorZi-2
Intel Core i7-8700K Processor ,"3,696 MHz ",April 6 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11967,Time Spy (1.0) by Shooweri
Intel Core i9-9900K Processor ,"3,600 MHz ",April 22 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11967,Time Spy (1.0) by mohamad1991
Intel Core i7-8700K Processor ,"3,696 MHz ",May 13 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11967,Time Spy (1.0) by deairi
Intel Core i9-9900K Processor ,"3,600 MHz ",June 23 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",11967,Time Spy (1.0) by D3L7R0N
Intel Core i9-9900K Processor ,"3,600 MHz ",June 23 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11967,Time Spy (1.0) by D3L7R0N
Intel Core i7-9700K Processor ,"3,600 MHz ",July 17 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11967,Time Spy (1.0) by Andrejovics
Intel Core i9-9900K Processor ,"3,600 MHz ",August 12 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,025 MHz ",11967,Time Spy (1.0) by Rawn
AMD Ryzen 7 3700X ,"3,600 MHz ",August 14 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11967,Time Spy (1.0) by SliderBOR
Intel Core i9-9900K Processor ,"3,600 MHz ",August 16 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11967,Time Spy (1.0) by Purple-2854
Intel Core i9-9900K Processor ,"3,600 MHz ",August 17 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11967,Time Spy (1.0) by lyriixapple
AMD Ryzen 7 3700X ,"4,317 MHz ",August 30 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11967,Time Spy (1.0) by drbarlow
AMD Ryzen 9 3900X ,"4,300 MHz ",December 8 2019,ZOTAC NVIDIA GeForce RTX 2080 ,"2,100 MHz ",11967,Time Spy (1.0) by CursingLlama
AMD Ryzen 9 3900X ,"4,300 MHz ",December 31 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11967,Time Spy (1.0) by tyler0580
Intel Core i9-9900K Processor ,"3,600 MHz ",January 12 2020,ZOTAC NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11967,Time Spy (1.0)
AMD Ryzen 7 3700X ,"3,593 MHz ",January 21 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11967,Time Spy (1.0) by Adtler
Intel Core i7-9700K Processor ,"3,600 MHz ",February 29 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11967,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,493 MHz ",September 9 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11967,Time Spy (1.2) by DanteWoo1130
AMD Ryzen 9 3900X ,"3,800 MHz ",September 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,010 MHz ",11967,Time Spy (1.2) by zenonn
AMD Ryzen 9 3900X ,"3,800 MHz ",September 16 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11967,Time Spy (1.2) by zenonn
Intel Core i9-9900K Processor ,"3,600 MHz ",September 21 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","1,625 MHz ",11967,Time Spy (1.2) by bfiskus2987
Intel Core i9-9900K Processor ,"3,600 MHz ",December 16 2018,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",11966,Time Spy (1.0) by Fueled
Intel Core i9-9900K Processor ,"3,600 MHz ",March 6 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11966,Time Spy (1.0) by lmcgrew79
AMD Ryzen 7 2700X ,"4,100 MHz ",March 9 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11966,Time Spy (1.0) by mobro7
Intel Core i9-9900K Processor ,"3,600 MHz ",March 16 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11966,Time Spy (1.0) by Doc Rx
Intel Core i7-8700K Processor ,"3,696 MHz ",March 20 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11966,Time Spy (1.0) by Shooweri
Intel Core i9-9900K Processor ,"3,600 MHz ",March 21 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11966,Time Spy (1.0) by blackdevil179
Intel Core i9-9900K Processor ,"3,600 MHz ",May 27 2019,Gainward GmbH NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11966,Time Spy (1.0) by Maxavelli
AMD Ryzen 7 3700X ,"3,600 MHz ",July 14 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11966,Time Spy (1.0) by UnleashTheBeebo
Intel Core i9-9900K Processor ,"3,600 MHz ",July 23 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11966,Time Spy (1.0) by masonf89
Intel Core i9-9900K Processor ,"3,600 MHz ",August 16 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",11966,Time Spy (1.0) by 沪牌快到碗里来
Intel Core i9-9900K Processor ,"3,600 MHz ",September 23 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11966,Time Spy (1.0) by Kix
Intel Core i9-9900K Processor ,"3,600 MHz ",September 30 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11966,Time Spy (1.0) by lmw77
Intel Core i9-9900K Processor ,"3,600 MHz ",October 6 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11966,Time Spy (1.0) by BreeZioS
Intel Core i9-9900K Processor ,"3,600 MHz ",October 27 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,025 MHz ",11966,Time Spy (1.0) by Huxy
AMD Ryzen 9 3900X ,"3,800 MHz ",November 10 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",11966,Time Spy (1.0) by pro-rick
Intel Core i7-5960X Processor ,"3,750 MHz ",November 23 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11966,Time Spy (1.0)
Intel Core i7-9700K Processor ,"3,600 MHz ",December 8 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11966,Time Spy (1.0) by vavsaftoiu
AMD Ryzen 7 3700X ,"3,600 MHz ",December 13 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11966,Time Spy (1.0) by Hellraizzor
AMD Ryzen 7 3800X ,"4,450 MHz ",January 5 2020,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",11966,Time Spy (1.0) by Rannaa
Intel Core i9-9900K Processor ,"3,600 MHz ",January 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11966,Time Spy (1.0) by Brobeans-2
Intel Core i9-9900K Processor ,"3,600 MHz ",February 23 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11966,Time Spy (1.0) by wakewelder9
AMD Ryzen 7 3700X ,"3,600 MHz ",February 24 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11966,Time Spy (1.0)
AMD Ryzen 7 3800X ,"3,900 MHz ",April 1 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11966,Time Spy (1.0) by macdanight
Intel Core i7-9700K Processor ,"3,600 MHz ",May 20 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,130 MHz ",11966,Time Spy (1.0) by jdhallesy
AMD Ryzen 9 3900X ,"3,800 MHz ",June 4 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,055 MHz ",11966,Time Spy (1.0) by parempitommi
Intel Core i9-9900K Processor ,"3,600 MHz ",June 16 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11966,Time Spy (1.0) by codingforsoup
AMD Ryzen 9 3900X ,"3,800 MHz ",June 21 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",11966,Time Spy (1.0) by Captain Boo-Tacular
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11966,Time Spy (1.0) by cipullo6906
Intel Core i9-9900K Processor ,"3,600 MHz ",June 28 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11966,Time Spy (1.2) by wakewelder9
AMD Ryzen 9 3900X ,"3,800 MHz ",July 10 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11966,Time Spy (1.2) by hatoba
AMD Ryzen 9 3900X ,"3,800 MHz ",August 7 2020,ZOTAC NVIDIA GeForce RTX 2080 ,"2,085 MHz ",11966,Time Spy (1.2) by miguelolfindo
AMD Ryzen 9 3900X ,"3,800 MHz ",September 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,010 MHz ",11966,Time Spy (1.2) by zenonn
Intel Core i9-9900K Processor ,"3,600 MHz ",December 28 2018,ZOTAC NVIDIA GeForce RTX 2080 ,"2,085 MHz ",11965,Time Spy (1.0) by Schmeeg
Intel Core i9-9900K Processor ,"3,600 MHz ",January 20 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,070 MHz ",11965,Time Spy (1.0) by Baked-2
Intel Core i9-9900K Processor ,"3,600 MHz ",January 24 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11965,Time Spy (1.0) by xWhistler
Intel Core i9-9900K Processor ,"3,600 MHz ",February 13 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",11965,Time Spy (1.0) by turbo2point2liter
Intel Core i9-9940X Processor ,"3,312 MHz ",February 21 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11965,Time Spy (1.0) by wintermoon99
Intel Core i9-9900K Processor ,"3,600 MHz ",April 19 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11965,Time Spy (1.0) by frog877
Intel Core i9-9900K Processor ,"3,600 MHz ",May 27 2019,Gainward GmbH NVIDIA GeForce RTX 2080 ,"2,040 MHz ",11965,Time Spy (1.0) by Maxavelli
Intel Core i9-9900K Processor ,"3,600 MHz ",June 23 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",11965,Time Spy (1.0) by D3L7R0N
Intel Core i9-9900K Processor ,"3,600 MHz ",June 23 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",11965,Time Spy (1.0) by D3L7R0N
AMD Ryzen 7 3700X ,"3,600 MHz ",July 13 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",11965,Time Spy (1.0) by Hellpful
AMD Ryzen 9 3900X ,"3,793 MHz ",November 14 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,130 MHz ",11965,Time Spy (1.0) by stelzer
AMD Ryzen 7 3700X ,"3,593 MHz ",November 25 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11965,Time Spy (1.0) by Adtler
Intel Core i9-9900KS Processor ,"4,007 MHz ",December 15 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,010 MHz ",11965,Time Spy (1.0) by wubizzle
AMD Ryzen 7 3700X ,"4,250 MHz ",January 4 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",11965,Time Spy (1.0) by DerEmperor
Intel Core i9-9900K Processor ,"3,600 MHz ",March 5 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",11965,Time Spy (1.0) by Sk8terdeamon_69
Intel Core i9-9900K Processor ,"3,600 MHz ",May 9 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11965,Time Spy (1.0) by waelhadaya
AMD Ryzen 9 3900X ,"4,300 MHz ",May 10 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11965,Time Spy (1.0) by TurboButton
Intel Core i9-9900K Processor ,"3,600 MHz ",May 18 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,040 MHz ",11965,Time Spy (1.0) by ElConrado
AMD Ryzen 9 3900X ,"4,350 MHz ",June 7 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",11965,Time Spy (1.0) by Infinike
Intel Core i7-10700K Processor ,"3,792 MHz ",June 8 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",11965,Time Spy (1.0) by Th3Hypnotoad
AMD Ryzen 7 3700X ,"3,593 MHz ",July 21 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",11965,Time Spy (1.2) by Noodlepooper
AMD Ryzen 9 3900X ,"3,793 MHz ",July 24 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11965,Time Spy (1.2) by Tuukkeli
AMD Ryzen 9 3900X ,"3,800 MHz ",September 11 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",11965,Time Spy (1.2) by zenonn
