cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
AMD Ryzen 9 3900X ,"3,800 MHz ",February 16 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",12261,Time Spy (1.0) by leitoo88
AMD Ryzen 9 3900X ,"3,793 MHz ",May 15 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,130 MHz ",12261,Time Spy (1.0) by pazuzu
Intel Core i9-9900K Processor ,"3,600 MHz ",May 31 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12261,Time Spy (1.0) by ElConrado
Intel Core i7-10700K Processor ,"3,801 MHz ",August 6 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",12261,Time Spy (1.2) by kympossible
Intel Core i9-9820X Processor ,"3,301 MHz ",January 15 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12260,Time Spy (1.0) by Cloud
Intel Core i9-9900K Processor ,"3,600 MHz ",March 1 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12260,Time Spy (1.0) by Nils-2038
Intel Core i9-9900K Processor ,"3,600 MHz ",June 7 2019,Colorful NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12260,Time Spy (1.0) by yuyijun22
Intel Core i9-9900K Processor ,"3,600 MHz ",September 2 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12260,Time Spy (1.0)
AMD Ryzen 9 3900X ,"4,300 MHz ",December 9 2019,Gainward GmbH NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12260,Time Spy (1.0) by Hintro
AMD Ryzen 7 3800X ,"3,893 MHz ",April 15 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12260,Time Spy (1.0) by LoNeRwolf22
Intel Core i9-9900K Processor ,"3,600 MHz ",October 9 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12259,Time Spy (1.0) by mammaluke
Intel Core i9-9900K Processor ,"3,600 MHz ",November 24 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12259,Time Spy (1.0) by Kix
AMD Ryzen 9 3900X ,"3,800 MHz ",January 19 2020,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,040 MHz ",12259,Time Spy (1.0) by mikjoa
Intel Core i9-9900K Processor ,"3,600 MHz ",March 24 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12259,Time Spy (1.0) by SvALX
AMD Ryzen 7 3800X ,"3,893 MHz ",April 9 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",12259,Time Spy (1.0) by LoNeRwolf22
AMD Ryzen 7 3800X ,"3,893 MHz ",April 16 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12259,Time Spy (1.0) by LoNeRwolf22
AMD Ryzen 7 3800X ,"3,893 MHz ",April 30 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,175 MHz ",12259,Time Spy (1.0) by LoNeRwolf22
Intel Core i9-7920X Processor ,"2,900 MHz ",June 7 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12258,Time Spy (1.0) by akee99
Intel Core i9-9900K Processor ,"3,600 MHz ",June 21 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12258,Time Spy (1.0) by TwstdPlsre
Intel Core i9-9900K Processor ,"3,600 MHz ",August 3 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12258,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",November 20 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12258,Time Spy (1.0) by Knobster368
AMD Ryzen 9 3900X ,"4,100 MHz ",December 12 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12258,Time Spy (1.0) by JRowMe
AMD Ryzen 9 3900X ,"3,793 MHz ",January 27 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12258,Time Spy (1.0) by thatslikeaboss
AMD Ryzen 7 3700X ,"3,593 MHz ",February 2 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,130 MHz ",12258,Time Spy (1.0)
Intel Core i9-9900KF Processor ,"3,600 MHz ",April 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,130 MHz ",12258,Time Spy (1.0) by Rafold
AMD Ryzen 9 3900X ,"3,793 MHz ",October 26 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12257,Time Spy (1.0) by faceFISTER
AMD Ryzen 9 3950X ,"3,493 MHz ",February 1 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,070 MHz ",12257,Time Spy (1.0) by atte.santala
Intel Core i9-9900K Processor ,"3,600 MHz ",May 31 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12257,Time Spy (1.0) by ElConrado
AMD Ryzen 9 3900X ,"4,400 MHz ",September 12 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12257,Time Spy (1.2) by German_Shut3r
Intel Core i9-9900K Processor ,"3,600 MHz ",November 26 2018,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12256,Time Spy (1.0) by Tostito_Bandito
AMD Ryzen 9 3900X ,"3,793 MHz ",December 1 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12256,Time Spy (1.0) by Brawley Games
AMD Ryzen 9 3900X ,"3,800 MHz ",March 23 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",12256,Time Spy (1.0) by Kery
Intel Core i9-9900KF Processor ,"3,600 MHz ",May 21 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12256,Time Spy (1.0) by TehMadDog
Intel Core i9-9900K Processor ,"3,600 MHz ",May 27 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,055 MHz ",12255,Time Spy (1.0) by Kix
Intel Core i9-9900K Processor ,"3,600 MHz ",September 9 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12255,Time Spy (1.0) by lyriixapple
Intel Core i9-9900K Processor ,"3,600 MHz ",September 29 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12255,Time Spy (1.0) by Noy
Intel Core i9-10900K Processor ,"3,700 MHz ",June 20 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,025 MHz ",12255,Time Spy (1.0) by Bakorlam
Intel Core i9-9900KF Processor ,"3,600 MHz ",June 21 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12255,Time Spy (1.0) by Roxnemesis
Intel Core i9-10900K Processor ,"3,696 MHz ",September 20 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12255,Time Spy (1.2) by anykala
