benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_tdp,cpu_test,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,gt1,gt2,os,ram,ram_clock_freq,score,storage,user
Time Spy,1.2,5203,10,14,Intel,15979,Core i9-10900KF Processor,FCLGA1200,125,53.69,September 30 2020,NVIDIA GeForce RTX 3080,1975,1303,58,2085,1,Approved ,27.21.14.5655,1313,19206,"Micro-Star International Co ., Ltd.",10240,127.4,108.46,64-bit Windows 10 (10.0.19041),16384,4600,18641,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,4534,16,7,AMD,16332,Ryzen 9 3950X,AM4,105,54.87,September 30 2020,NVIDIA GeForce RTX 3080,1986,1282,45,2220,1,Approved ,27.21.14.5655,1282,19103,Palit Microsystems Ltd.,10240,125.92,108.45,64-bit Windows 10 (10.0.19041),32768,3740,18628,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,5503,10,14,Intel,17042,Core i9-10900K Processor,FCLGA1200,125,57.26,September 22 2020,NVIDIA GeForce RTX 3080,1919,1344,49,2115,1,Approved ,27.21.14.5638,1344,18932,Palit Microsystems Ltd.,10240,124.85,107.43,64-bit Windows 10 (10.0.18362),16384,4698,18622,"1,024 GB ADATA SX8200PNP",Mumriken-2
Time Spy,1.2,4902,10,14,Intel,14922,Core i9-10900KF Processor,FCLGA1200,125,50.14,September 29 2020,NVIDIA GeForce RTX 3080,1993,1328,45,2145,1,Approved ,27.21.14.5655,1338,19468,"Micro-Star International Co ., Ltd.",10240,128.85,110.13,64-bit Windows 10 (10.0.19041),32768,4000,18617,"1,000 GB Samsung SSD 970 EVO Plus 1TB",Ustinel
Time Spy,1.2,4559,16,7,AMD,16396,Ryzen 9 3950X,AM4,105,55.09,September 30 2020,NVIDIA GeForce RTX 3080,1986,1282,44,2220,1,Approved ,27.21.14.5655,1282,19070,Palit Microsystems Ltd.,10240,125.39,108.49,64-bit Windows 10 (10.0.19041),32768,3740,18614,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,4904,10,14,Intel,14882,Core i9-10900KF Processor,FCLGA1200,125,50.0,September 29 2020,NVIDIA GeForce RTX 3080,1995,1328,45,2145,1,Approved ,27.21.14.5655,1338,19472,"Micro-Star International Co ., Ltd.",10240,128.91,110.13,64-bit Windows 10 (10.0.19041),32768,3998,18610,"1,000 GB Samsung SSD 970 EVO Plus 1TB",Ustinel
Time Spy,1.2,4509,16,7,AMD,16403,Ryzen 9 3950X,AM4,105,55.11,September 29 2020,NVIDIA GeForce RTX 3080,1981,1282,46,2220,1,Approved ,27.21.14.5655,1282,19056,Palit Microsystems Ltd.,10240,125.72,108.1,64-bit Windows 10 (10.0.19041),32768,3740,18604,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,4509,16,7,AMD,16392,Ryzen 9 3950X,AM4,105,55.07,September 29 2020,NVIDIA GeForce RTX 3080,1988,1282,46,2235,1,Approved ,27.21.14.5655,1282,19045,Palit Microsystems Ltd.,10240,125.7,108.0,64-bit Windows 10 (10.0.19041),32768,3740,18593,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Time Spy,1.2,5308,10,14,Intel,16127,Core i9-10900K Processor,FCLGA1200,125,54.18,September 23 2020,NVIDIA GeForce RTX 3080,1938,1307,54,2070,1,Approved ,27.21.14.5638,1307,19097,"Asustek Computer, Inc.",10240,126.21,108.17,64-bit Windows 10 (10.0.19041),16384,4402,18583,"1,024 GB ADATA SX8200PNP",raufzero
Time Spy,1.2,5308,10,14,Intel,16134,Core i9-10900K Processor,FCLGA1200,125,54.21,September 23 2020,NVIDIA GeForce RTX 3080,1934,1304,51,2055,1,Approved ,27.21.14.5638,1304,19091,"Asustek Computer, Inc.",10240,126.1,108.19,64-bit Windows 10 (10.0.19041),16384,4404,18580,"1,024 GB ADATA SX8200PNP",raufzero
