benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_test,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,pr_gt,os,ram,ram_clock_freq,score,storage,user
Port Royal,1.2,4576,12,7,AMD,,Ryzen 9 3900X,AM4,,105,September 29 2020,NVIDIA GeForce RTX 3080,2072,1328,40,2145,1,Approved ,27.21.14.5655,1328,12415,"Micro-Star International Co ., Ltd.",10240,57.48,64-bit Windows 10 (10.0.19041),32768,3732,12415,"1,000 GB Samsung SSD 970 EVO 1TB",Punkworks
Port Royal,1.2,5203,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,2041,1313,51,2100,1,Approved ,27.21.14.5655,1313,12412,"Giga-Byte Technology Co., Ltd.",10240,57.47,64-bit Windows 10 (10.0.19041),32768,3800,12412,250 GB Samsung SSD 970 EVO Plus 250GB,StalkR
Port Royal,1.2,5170,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,2015,1325,52,2115,1,Approved ,27.21.14.5655,1325,12407,"Giga-Byte Technology Co., Ltd.",10240,57.44,64-bit Windows 10 (10.0.18363),32768,3238,12407,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,5204,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2037,1288,44,2115,1,Approved ,27.21.14.5655,1288,12398,"Micro-Star International Co ., Ltd.",10240,57.4,64-bit Windows 10 (10.0.18362),32768,3396,12398,256 GB Samsung SSD 950 PRO 256GB,steven46746
Port Royal,1.2,5103,10,14,Intel,,Core i9-10850K Processor,FCLGA1200,,95,September 29 2020,NVIDIA GeForce RTX 3080,2099,1244,51,2145,1,Approved ,27.21.14.5655,1244,12392,NVidia Corporation,10240,57.37,64-bit Windows 10 (10.0.18362),32768,2666,12392,512 GB NVMe Samsung SSD 950 SCSI Disk Device,JNeidlinger
Port Royal,1.2,4902,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2011,1325,67,2115,1,Approved ,27.21.14.5655,1325,12388,NVidia Corporation,10240,57.35,64-bit Windows 10 (10.0.19041),32768,3698,12388,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,5101,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2061,1269,38,2115,1,Approved ,27.21.14.5638,1269,12387,NVidia Corporation,10240,57.35,64-bit Windows 10 (10.0.19041),16384,3200,12387,500 GB Samsung SSD 860 EVO 500GB,JayzTwoCents
Port Royal,1.2,4902,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2004,1325,67,2115,1,Approved ,27.21.14.5655,1325,12386,NVidia Corporation,10240,57.35,64-bit Windows 10 (10.0.19041),32768,3700,12386,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,2016,1312,43,2115,1,Approved ,27.21.14.5638,1312,12384,"Asustek Computer, Inc.",10240,57.33,64-bit Windows 10 (10.0.19041),16384,4402,12384,"1,024 GB ADATA SX8200PNP",raufzero
Port Royal,1.2,5103,10,14,Intel,,Core i9-10850K Processor,FCLGA1200,,95,September 29 2020,NVIDIA GeForce RTX 3080,2107,1244,49,2175,1,Approved ,27.21.14.5655,1244,12379,NVidia Corporation,10240,57.31,64-bit Windows 10 (10.0.18362),32768,2666,12379,512 GB NVMe Samsung SSD 950 SCSI Disk Device,JNeidlinger
